ENTIDAD;DESCRIPCION_URL;ID;ID2;LINK;DESCRICION_1;DESCRIPCION_2;DIAS
ENTEL;SOSTENIBILIDAD;Elige Verde;eligeverde;https://www.entel.cl/beneficios/descuentos/sostenibilidad/eligeverde/?oda=beneficios-sostenibilidad_cards;30% de dcto. en  todos los planes,  los 3 primeros meses;30 porciento de dcto en todos los planes cocina y jardin;
ENTEL;SOSTENIBILIDAD;FreeMet;freemet;https://www.entel.cl/beneficios/descuentos/sostenibilidad/free-met/?oda=beneficios-sostenibilidad_cards;15% de dcto. en  el total de la compra online en www.freemet.cl;15 porciento de descuento en el total de la compra online en www freemet cl;
ENTEL;SOSTENIBILIDAD;Kruza;kruza;https://www.entel.cl/beneficios/descuentos/sostenibilidad/kruza/?oda=beneficios-sostenibilidad_cards;20% de descuento en compras online en kruza.eco;20 porciento de descuento en compras online en kruza eco;
ENTEL;SOSTENIBILIDAD;Plug;plug;https://www.entel.cl/beneficios/descuentos/sostenibilidad/plug/?oda=beneficios-sostenibilidad_cards;20% de descuento En Mercado Sustentable de Plug;20 porciento de descuento en mercado sustentable de plug;
ENTEL;SOSTENIBILIDAD;Lávame App;lavame app;https://www.entel.cl/beneficios/descuentos/sostenibilidad/lavame-app/?oda=beneficios-sostenibilidad_cards;Hasta 20% de dcto  en lavado de auto  ecológico;hasta 20 porciento de descuento en lavado de auto ecológico;
ENTEL;TRANSPORTE;Awto;awto;https://www.entel.cl/beneficios/descuentos/transporte/awto/?oda=beneficios-transporte_cards;$10.000 + 20% de descuento para usuarios nuevos;10000 mas 20 porciento de descuento para usuarios nuevos;
ENTEL;TRANSPORTE;Euro Rent a Car;euro;https://www.entel.cl/beneficios/descuentos/transporte/euro-rent/?oda=beneficios-transporte_cards;30% dcto en arriendo de cualquier vehículo;30 porciento dcto en arriendo de cualquier vehiculo;
ENTEL;TRANSPORTE;Assist card;euro;https://www.entel.cl/beneficios/descuentos/transporte/assist-card/?oda=beneficios-transporte_cards;10% de descuento  adicional sobre la tarifa vigente  al contratar la Asistencia en Viajes de Assist Card con Entel;10 porciento dcto  adicional sobre la tarifa vigente al contratar la asistencia en viajes de assist card con entel;
ENTEL;GAMING;Fantech;fantech;https://www.entel.cl/beneficios/descuentos/gaming/fantech/?oda=beneficios-gaming_cards;25% de dcto sobre el precio normal  en sillas, escritorios y  gabinetes;25 porciento de dcto sobre el precio normal;
ENTEL;GAMING;Gunnar;gunnar;https://www.entel.cl/beneficios/descuentos/gaming/gunnar/?oda=beneficios-gaming_cards;Hasta 25% de dcto en toda su web;hasta 25 porciento de dcto en toda su web;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-back-to-school;;https://portales.bancochile.cl/personas/campana-beneficios/detalles/back-to-school;Vuelve a clases con el Chile;Los mejores descuentos y beneficios son con tus Tarjetas del Chile.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-big5-2023;;https://portales.bancochile.cl/personas/campana-beneficios/detalles/big5-2023;Date un gusto todos los días;Hasta 40% dcto. pagando con tus Tarjetas del Chile. La Fête - Juan Maestro - KFC - Dominó - Starbucks.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-30-dcto-restaurant;;https://portales.bancochile.cl/personas/campana-beneficios/detalles/30-dcto-restaurant;Jueves de terraza;30% dcto. en restaurantes pagando con tus Tarjetas del Chile. ;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-verano-2023;;https://portales.bancochile.cl/personas/beneficios/promociones/detalles/verano-2023;¡Este Verano disfruta de los mejores beneficios!;Pagando con tus Tarjetas del Chile hasta el 28 de febrero.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-bigos;;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/bigos;Bigos;20% dcto. todos los viernes.;
